Filename,width,height,framerate,MOS,pixfmt,,,,
2999049224,960,540,30,3.44,yuv420p,,,min,max
3015973424,960,540,24,3.1,yuv420p,,,,
3179649855,960,540,24,2.88,yuv420p,,,,
3218223446,960,540,30,2.92,yuv420p,,,,
3240926995,960,540,30,3.1484375,yuv420p,,,,
3263720175,960,540,24,3.04,yuv420p,,,,
3318634083,960,540,30,2.3,yuv420p,,,,
3321308714,960,540,24,3.04,yuv420p,,,,
3337642103,960,540,30,3.308641975,yuv420p,,,,
3339387387,960,540,30,2.42,yuv420p,,,,
3339962845,960,540,30,4.64,yuv420p,,,,
3343535739,960,540,30,2.4,yuv420p,,,,
3357588876,960,540,25,2.96,yuv420p,,,,
3358799122,960,540,30,3.785714286,yuv420p,,,,
3359662128,960,540,24,3.08,yuv420p,,,,
3369925072,960,540,30,4.02,yuv420p,,,,
3374751086,960,540,24,2.24,yuv420p,,,,
3407992311,960,540,30,4.08,yuv420p,,,,
3425371223,960,540,30,3.12,yuv420p,,,,
3431305644,960,540,24,3.06,yuv420p,,,,
3437816776,960,540,24,3.5,yuv420p,,,,
3459287580,960,540,24,3.5,yuv420p,,,,
3459410764,960,540,30,3.692946058,yuv420p,,,,
3469529939,960,540,30,2.8,yuv420p,,,,
3471567822,960,540,30,1.52,yuv420p,,,,
3482706595,960,540,30,3.2,yuv420p,,,,
3488252741,960,540,24,3.54,yuv420p,,,,
3489123822,960,540,24,3.8,yuv420p,,,,
3496871384,960,540,30,2.08,yuv420p,,,,
3504083604,960,540,30,2.38,yuv420p,,,,
3516162818,960,540,30,3.6,yuv420p,,,,
3521396571,960,540,30,3.54,yuv420p,,,,
3533765114,960,540,24,2.28,yuv420p,,,,
3546788918,960,540,30,3.64,yuv420p,,,,
3561516939,960,540,30,2.44,yuv420p,,,,
3583315023,960,540,24,2.84,yuv420p,,,,
3588022983,960,540,24,3.66,yuv420p,,,,
3589925544,960,540,24,3.16,yuv420p,,,,
3590551873,960,540,30,2.7,yuv420p,,,,
3591184129,960,540,30,2.58,yuv420p,,,,
3611217365,960,540,24,3.6,yuv420p,,,,
